"Name","Gender","Religion","Cast","Country"
"Sphatikabha","Male","hindu","","India"
"Sugreeva","Male","hindu","","India"
"Surarchita","Male","hindu","","India"
"Tatvagyanaprada","Male","hindu","","India"
"Vagadheeksha","Male","hindu","","India"
"Vagmine","Male","hindu","","India"
"Vajrakaya","Male","hindu","","India"
"Vajranakha","Male","hindu","","India"
"Vanara","Male","hindu","","India"
"Vardhimainakapujita","Male","hindu","","India"
"Vibheeshanapriyakara","Male","hindu","","India"
"Vijitendriya","Male","hindu","","India"
"Yogine","Male","hindu","","India"
"Achala","Male","hindu","","India"
"Achyuta","Male","hindu","","India"
"Adidev","Male","hindu","","India"
"Aditya","Male","hindu","","India"
"Ajanma","Male","hindu","","India"
"Ajaya","Male","hindu","","India"
"Amrut","Male","hindu","","India"
"Anandsagar","Male","hindu","","India"
"Anaya","Male","hindu","","India"
"Aparajeet","Male","hindu","","India"
"Avyukta","Male","hindu","","India"
"Balgopal","Male","hindu","","India"
"Dhurga","Female","hindu","","India"
"Dhurgama","Female","hindu","","India"
"Dhurlabha","Female","hindu","","India"
"Dhyana Dhyathru Dhyeya Roopa","Female","hindu","","India"
"Dhyanagamya","Female","hindu","","India"
"Dhyuthidhara","Female","hindu","","India"
"Divya Gandhadya","Female","hindu","","India"
"Divya Vigraha","Female","hindu","","India"
"Dosha Varjitha","Female","hindu","","India"
"Drusya Rahitha","Female","hindu","","India"
"Durachara Samani","Female","hindu","","India"
"Dushta Doora","Female","hindu","","India"
"Dwaitha Varjitha","Female","hindu","","India"
"Dwija Brinda Nishewitha","Female","hindu","","India"
"Ee","Female","hindu","","India"
"Eeswari","Female","hindu","","India"
"Ekakini","Female","hindu","","India"
"Gagananthastha","Female","hindu","","India"
"Gambheera","Female","hindu","","India"
"Gana Lolupa","Female","hindu","","India"
"Ganamba","Female","hindu","","India"
"Gandharwa Sevitha","Female","hindu","","India"
"Garvitha","Female","hindu","","India"
"Gayathri","Female","hindu","","India"
"Geya Chakra Ratha Rooda Manthrini Pari Sevitha","Female","hindu","","India"
"Manomay","Male","hindu","","India"
"Mrityuanjaya","Male","hindu","","India"
"Muktidaya","Male","hindu","","India"
"Mundakarama","Male","hindu","","India"
"Musikvahana","Male","hindu","","India"
"Nadapratithishta","Male","hindu","","India"
"Namasthetu","Male","hindu","","India"
"Nandana","Male","hindu","","India"
"Nideeshwaram","Male","hindu","","India"
"Omkara","Male","hindu","","India"
"Pitambara","Male","hindu","","India"
"Pramoda","Male","hindu","","India"
"Prathameshwara","Male","hindu","","India"
"Purush","Male","hindu","","India"
"Rakta","Male","hindu","","India"
"Rudrapriya","Male","hindu","","India"
"Sarvadevatman","Male","hindu","","India"
"Sarvasiddhanta","Male","hindu","","India"
"Sarvatman","Male","hindu","","India"
"Shambhavi","Male","hindu","","India"
"Shashivarnam","Male","hindu","","India"
"Shoorpakarna","Male","hindu","","India"
"Shuban","Male","hindu","","India"
"Shubhagunakanan","Male","hindu","","India"
"Shweta","Male","hindu","","India"
"Chathu Sashti Kala Mayi","Female","hindu","","India"
"Chathur Vakthra Manohara","Female","hindu","","India"
"Chathuranga Baleswai","Female","hindu","","India"
"Chatustatyupacharadya","Female","hindu","","India"
"Chethana Roopa","Female","hindu","","India"
"Chid Kala","Female","hindu","","India"
"Chidagni Kunda Sambootha","Female","hindu","","India"
"Chidekara Swaroopini","Female","hindu","","India"
"Chinmayi","Female","hindu","","India"
"Chinthamani Grihanthastha","Female","hindu","","India"
"Chithi","Female","hindu","","India"
"Chitsakthi","Female","hindu","","India"
"Dakineeswari","Female","hindu","","India"
"Daksha Yagna Vinasini","Female","hindu","","India"
"Dakshayani","Female","hindu","","India"
"Dakshina Daksinaradhya","Female","hindu","","India"
"Dakshina Moorthi Roopini","Female","hindu","","India"
"Damaryadhibhi Ravrutha","Female","hindu","","India"
"Dasa Mudhra Samaradhya","Female","hindu","","India"
"Daurbhagya Thoolavathoola","Female","hindu","","India"
"Deekshitha","Female","hindu","","India"
"Desa Kala Parischinna","Female","hindu","","India"
"Deva Karya Samudhyatha","Female","hindu","","India"
"Devarshi Ganasangathastuyamanathmavaibhava","Female","hindu","","India"
"Deveshi","Female","hindu","","India"
"Gadadhara","Male","hindu","","India"
"Gajakarna","Male","hindu","","India"
"Gajanana","Male","hindu","","India"
"Gajananeti","Male","hindu","","India"
"Gajavakra","Male","hindu","","India"
"Gajavaktra","Male","hindu","","India"
"Ganadhakshya","Male","hindu","","India"
"Ganadhyakshina","Male","hindu","","India"
"Ganapati","Male","hindu","","India"
"Gaurisuta","Male","hindu","","India"
"Gunina","Male","hindu","","India"
"Haridra","Male","hindu","","India"
"Heramba","Male","hindu","","India"
"Kapila","Male","hindu","","India"
"Kaveesha","Male","hindu","","India"
"Kirti","Male","hindu","","India"
"Kripalu","Male","hindu","","India"
"Krishapingaksha","Male","hindu","","India"
"Kshamakaram","Male","hindu","","India"
"Kshipra","Male","hindu","","India"
"Lambakarna","Male","hindu","","India"
"Lambodara","Male","hindu","","India"
"Mahaganapati","Male","hindu","","India"
"Maheshwaram","Male","hindu","","India"
"Mangalamurti","Male","hindu","","India"
"Ahaspati","Male","hindu","","India"
"Aja","Male","hindu","","India"
"Ajatasatru","Male","hindu","","India"
"Ajeya","Male","hindu","","India"
"Ajnadhara","Male","hindu","","India"
"Ajneya","Male","hindu","","India"
"Akalmasa","Male","hindu","","India"
"Akampita","Male","hindu","","India"
"Aksara","Male","hindu","","India"
"Aksayaguna","Male","hindu","","India"
"Aksunna","Male","hindu","","India"
"Alankarisnu","Male","hindu","","India"
"Aloksambhavya","Male","hindu","","India"
"Amalonmayain","Male","hindu","","India"
"Amnaya","Male","hindu","","India"
"Amoghadanda","Male","hindu","","India"
"Amrta","Male","hindu","","India"
"Amrtamaya","Male","hindu","","India"
"Amrtapa","Male","hindu","","India"
"Amrtyu","Male","hindu","","India"
"Anadi","Male","hindu","","India"
"Anadimadhyanidhana","Male","hindu","","India"
"Anadyanta","Male","hindu","","India"
"Anagha","Male","hindu","","India"
"Anamya","Male","hindu","","India"
"Shikhipichhadwaja Virajita","Female","hindu","","India"
"Shilathata Vinikshibda","Female","hindu","","India"
"Shree","Female","hindu","","India"
"Surashreshtta","Female","hindu","","India"
"Sutada","Female","hindu","","India"
"Trailokyarakshini","Female","hindu","","India"
"Tribhuvaneshwari","Female","hindu","","India"
"Tridashapujita","Female","hindu","","India"
"Tridivabhavayirtri","Female","hindu","","India"
"Vapurda","Female","hindu","","India"
"Vasudevabhagini","Female","hindu","","India"
"Vindhyavasini`","Female","hindu","","India"
"Vividayudhadhara","Female","hindu","","India"
"Vyadhinashini","Female","hindu","","India"
"Yashodagarba Sambhoota","Female","hindu","","India"
"Ahladajanani","Female","hindu","","India"
"Anugrahaprada","Female","hindu","","India"
"Ashoka","Female","hindu","","India"
"Bhaskari","Female","hindu","","India"
"Bhuvaneshwarya","Female","hindu","","India"
"Bilvanilaya","Female","hindu","","India"
